date,faixa,admissoes,fonte
2015-12-01,Parcial (≤30h),37497,CAGED Antigo
2016-01-01,30–39h,70774,CAGED Antigo
2016-01-01,40h,35513,CAGED Antigo
2016-01-01,41–43h,9818,CAGED Antigo
2016-01-01,44h (jornada máxima),1025936,CAGED Antigo
2016-01-01,Parcial (≤30h),62999,CAGED Antigo
2016-02-01,30–39h,69867,CAGED Antigo
2016-02-01,40h,40255,CAGED Antigo
2016-02-01,41–43h,10859,CAGED Antigo
2016-02-01,44h (jornada máxima),1034568,CAGED Antigo
2016-02-01,Parcial (≤30h),121071,CAGED Antigo
2016-04-01,30–39h,72798,CAGED Antigo
2016-04-01,40h,36542,CAGED Antigo
2016-04-01,41–43h,10846,CAGED Antigo
2016-04-01,44h (jornada máxima),1058417,CAGED Antigo
2016-04-01,Parcial (≤30h),80367,CAGED Antigo
2016-06-01,30–39h,66080,CAGED Antigo
2016-06-01,40h,36566,CAGED Antigo
2016-06-01,41–43h,11114,CAGED Antigo
2016-06-01,44h (jornada máxima),1024018,CAGED Antigo
2016-06-01,Parcial (≤30h),66985,CAGED Antigo
2016-07-01,30–39h,68015,CAGED Antigo
2016-07-01,40h,37480,CAGED Antigo
2016-07-01,41–43h,11084,CAGED Antigo
2016-07-01,44h (jornada máxima),979741,CAGED Antigo
2016-07-01,Parcial (≤30h),71691,CAGED Antigo
2016-08-01,30–39h,75392,CAGED Antigo
2016-08-01,40h,39337,CAGED Antigo
2016-08-01,41–43h,11582,CAGED Antigo
2016-08-01,44h (jornada máxima),1029560,CAGED Antigo
2016-08-01,Parcial (≤30h),97857,CAGED Antigo
2016-09-01,30–39h,65886,CAGED Antigo
2016-09-01,40h,34141,CAGED Antigo
2016-09-01,41–43h,11372,CAGED Antigo
2016-09-01,44h (jornada máxima),961152,CAGED Antigo
2016-09-01,Parcial (≤30h),70246,CAGED Antigo
2016-10-01,30–39h,65198,CAGED Antigo
2016-10-01,40h,31134,CAGED Antigo
2016-10-01,41–43h,11051,CAGED Antigo
2016-10-01,44h (jornada máxima),930852,CAGED Antigo
2016-10-01,Parcial (≤30h),66196,CAGED Antigo
2016-11-01,30–39h,68926,CAGED Antigo
2016-11-01,40h,29705,CAGED Antigo
2016-11-01,41–43h,10423,CAGED Antigo
2016-11-01,44h (jornada máxima),939012,CAGED Antigo
2016-11-01,Parcial (≤30h),55701,CAGED Antigo
2016-12-01,30–39h,67038,CAGED Antigo
2016-12-01,40h,24795,CAGED Antigo
2016-12-01,41–43h,7855,CAGED Antigo
2016-12-01,44h (jornada máxima),729018,CAGED Antigo
2016-12-01,Parcial (≤30h),40733,CAGED Antigo
2017-01-01,30–39h,70790,CAGED Antigo
2017-01-01,40h,42464,CAGED Antigo
2017-01-01,41–43h,11182,CAGED Antigo
2017-01-01,44h (jornada máxima),1028265,CAGED Antigo
2017-01-01,Parcial (≤30h),72561,CAGED Antigo
2017-02-01,30–39h,70186,CAGED Antigo
2017-02-01,40h,43178,CAGED Antigo
2017-02-01,41–43h,11464,CAGED Antigo
2017-02-01,44h (jornada máxima),1005962,CAGED Antigo
2017-02-01,Parcial (≤30h),120041,CAGED Antigo
2017-03-01,30–39h,70484,CAGED Antigo
2017-03-01,40h,41537,CAGED Antigo
2017-03-01,41–43h,12416,CAGED Antigo
2017-03-01,44h (jornada máxima),1048281,CAGED Antigo
2017-03-01,Parcial (≤30h),88614,CAGED Antigo
2017-05-01,30–39h,71708,CAGED Antigo
2017-05-01,40h,41124,CAGED Antigo
2017-05-01,41–43h,10951,CAGED Antigo
2017-05-01,44h (jornada máxima),1046420,CAGED Antigo
2017-05-01,Parcial (≤30h),72230,CAGED Antigo
2017-07-01,30–39h,69804,CAGED Antigo
2017-07-01,40h,40663,CAGED Antigo
2017-07-01,41–43h,11392,CAGED Antigo
2017-07-01,44h (jornada máxima),970868,CAGED Antigo
2017-07-01,Parcial (≤30h),75043,CAGED Antigo
2017-08-01,30–39h,72043,CAGED Antigo
2017-08-01,40h,42133,CAGED Antigo
2017-08-01,41–43h,13470,CAGED Antigo
2017-08-01,44h (jornada máxima),1029119,CAGED Antigo
2017-08-01,Parcial (≤30h),98186,CAGED Antigo
2017-09-01,30–39h,63483,CAGED Antigo
2017-09-01,40h,40150,CAGED Antigo
2017-09-01,41–43h,11419,CAGED Antigo
2017-09-01,44h (jornada máxima),960999,CAGED Antigo
2017-09-01,Parcial (≤30h),72256,CAGED Antigo
2017-10-01,30–39h,66986,CAGED Antigo
2017-10-01,40h,37067,CAGED Antigo
2017-10-01,41–43h,12382,CAGED Antigo
2017-10-01,44h (jornada máxima),998704,CAGED Antigo
2017-10-01,Parcial (≤30h),72680,CAGED Antigo
2017-11-01,30–39h,70291,CAGED Antigo
2017-11-01,40h,35677,CAGED Antigo
2017-11-01,41–43h,11240,CAGED Antigo
2017-11-01,44h (jornada máxima),932216,CAGED Antigo
2017-11-01,Parcial (≤30h),62374,CAGED Antigo
2018-01-01,30–39h,74068,CAGED Antigo
2018-01-01,40h,44916,CAGED Antigo
2018-01-01,41–43h,12781,CAGED Antigo
2018-01-01,44h (jornada máxima),1065891,CAGED Antigo
2018-01-01,Parcial (≤30h),86842,CAGED Antigo
2018-02-01,30–39h,69466,CAGED Antigo
2018-02-01,40h,51315,CAGED Antigo
2018-02-01,41–43h,12227,CAGED Antigo
2018-02-01,44h (jornada máxima),1003908,CAGED Antigo
2018-02-01,Parcial (≤30h),138049,CAGED Antigo
2018-03-01,30–39h,75285,CAGED Antigo
2018-03-01,40h,48228,CAGED Antigo
2018-03-01,41–43h,13726,CAGED Antigo
2018-03-01,44h (jornada máxima),1098653,CAGED Antigo
2018-03-01,Parcial (≤30h),104261,CAGED Antigo
2018-04-01,30–39h,75080,CAGED Antigo
2018-04-01,40h,47742,CAGED Antigo
2018-04-01,41–43h,13161,CAGED Antigo
2018-04-01,44h (jornada máxima),1074746,CAGED Antigo
2018-04-01,Parcial (≤30h),94496,CAGED Antigo
2018-05-01,30–39h,74608,CAGED Antigo
2018-05-01,40h,46604,CAGED Antigo
2018-05-01,41–43h,12754,CAGED Antigo
2018-05-01,44h (jornada máxima),1056843,CAGED Antigo
2018-05-01,Parcial (≤30h),86767,CAGED Antigo
2018-06-01,30–39h,69989,CAGED Antigo
2018-06-01,40h,43718,CAGED Antigo
2018-06-01,41–43h,12263,CAGED Antigo
2018-06-01,44h (jornada máxima),968687,CAGED Antigo
2018-06-01,Parcial (≤30h),72874,CAGED Antigo
2018-07-01,30–39h,70987,CAGED Antigo
2018-07-01,40h,48518,CAGED Antigo
2018-07-01,41–43h,12966,CAGED Antigo
2018-07-01,44h (jornada máxima),996694,CAGED Antigo
2018-07-01,Parcial (≤30h),90022,CAGED Antigo
